uid_received,TIN_received,lgl_nm_received,dba_nm_received,business_address_received,uid_worth,TIN_worth,TIN_worth_no_format,lgl_nm_worth,dba_nm_worth,address_1_worth,address_2_worth,city_worth,region_worth,zip_code_worth,country_worth,full_address_worth,Tag_worth,Description_worth
01988189_AXP,814224122,FOSTER'S ALASKA CABINS,FOSTER'S AK CABINS,1005 ANGLER DR|||KENAI|AK|99611-8386|US,d2097a98d1d49f04fa218af05621bfd7046bcb2ac51cb8d21efd44d10f2884f1,81-4224122,814224122,FOSTER'S ALASKA CABINS,FOSTER'S AK CABINS,1005 ANGLER DR,,KENAI,AK,99611-8386,US,"1005 ANGLER DR, KENAI, AK, 99611-8386, US",NO_DUPLICATE_ISSUE,Record is clean and passed structural uniqueness tests.
AXP03704992,416465666,BETTY H FREEMAN INC.,BETTY H FREEMAN INC.,680 SCHILLINGER RD S|||MOBILE|AL|36695-8918|US,0542a4736236a674c4a8aeb78b1db024abec57850f46a123a2109695eb2b0fcc,41-6465666,416465666,BETTY H FREEMAN INC.,BETTY H FREEMAN INC.,680 SCHILLINGER RD S,,MOBILE,AL,36695-8918,US,"680 SCHILLINGER RD S, MOBILE, AL, 36695-8918, US",NO_DUPLICATE_ISSUE,Record is clean and passed structural uniqueness tests.
AXP03385725,429862557,RON PACK CARPET CTR,JAMES D OWENS,35 INVERNESS CIR|||LITTLE ROCK|AR|72212-2905|US,4a2a16a3c39532f4c9e4b9fe28cff3df09a07dc14a605a77fcf76d65a791deee,42-9862557,429862557,RON PACK CARPET CTR,JAMES D OWENS,35 INVERNESS CIR,,LITTLE ROCK,AR,72212-2905,US,"35 INVERNESS CIR, LITTLE ROCK, AR, 72212-2905, US",NO_DUPLICATE_ISSUE,Record is clean and passed structural uniqueness tests.
AXP04425282,240626159,WILLIAM T HOLLAND MD,WILLIAM T HOLLAND MD,6337 W GLENDALE AVE|||GLENDALE|AZ|85301-2309|US,1e1ef2f718b171611ab2bafea49afdabdc4fa98416a9fad8c675b5674e92b0d7,24-0626159,240626159,WILLIAM T HOLLAND MD,WILLIAM T HOLLAND MD,6337 W GLENDALE AVE,,GLENDALE,AZ,85301-2309,US,"6337 W GLENDALE AVE, GLENDALE, AZ, 85301-2309, US",NO_DUPLICATE_ISSUE,Record is clean and passed structural uniqueness tests.
AXP01747679,363502777,S LANCI,,7999 PASEO ESMERADO|||CARLSBAD|CA|92009-8935|US,c35aacdcf959bbca87359735770a793b082130fa00f6d2549e3a5945acb88321,36-3502777,363502777,S LANCI,,7999 PASEO ESMERADO,,CARLSBAD,CA,92009-8935,US,"7999 PASEO ESMERADO, CARLSBAD, CA, 92009-8935, US",NO_DUPLICATE_ISSUE,Record is clean and passed structural uniqueness tests.
AXP04581157,119364426,BOYD GROUP INTL,,2922 EVERGREEN PKWY|STE 325||EVERGREEN|CO|80439-7915|US,d68df82c979011246ca4d3a4ec475ba7d01bbcf4e78c9ebf07582c974ed92fc8,11-9364426,119364426,BOYD GROUP INTL,,2922 EVERGREEN PKWY,STE 325,EVERGREEN,CO,80439-7915,US,"2922 EVERGREEN PKWY, STE 325, EVERGREEN, CO, 80439-7915, US",NO_DUPLICATE_ISSUE,Record is clean and passed structural uniqueness tests.
AXP04209492,49684223,PLONOWSKI BLDNG,PLONOWSKI BLDNG,2 HERITAGE HILL RD|||NORWALK|CT|06851-1712|US,0367f53160f725dba08fec513ba0a803a85ee3cb986b03026f38c181d8328762,04-9684223,49684223,PLONOWSKI BLDNG,PLONOWSKI BLDNG,2 HERITAGE HILL RD,,NORWALK,CT,06851-1712,US,"2 HERITAGE HILL RD, NORWALK, CT, 06851-1712, US",NO_DUPLICATE_ISSUE,Record is clean and passed structural uniqueness tests.
00267147_AXP,510330740,PROVADA ENTERPISE INC,PROVADA ENTERPRISE,4391 KIRKWOOD HWY|||WILMINGTON|DE|19808-5113|US,d7227a6d2332bd30013543a0fbadfb9896a64a965727a955ddc7ec1c5c6766d9,51-0330740,510330740,PROVADA ENTERPISE INC,PROVADA ENTERPRISE,4391 KIRKWOOD HWY,,WILMINGTON,DE,19808-5113,US,"4391 KIRKWOOD HWY, WILMINGTON, DE, 19808-5113, US",NO_DUPLICATE_ISSUE,Record is clean and passed structural uniqueness tests.
AXP01730949,529486396,ANTHONY MITCHELL PHD,,533 BAYWOOD DR S|||DUNEDIN|FL|34698-2012|US,38f7f508482fa025c8f4f1c47a83df020ae836db25008be914aee2cc84baefeb,52-9486396,529486396,ANTHONY MITCHELL PHD,,533 BAYWOOD DR S,,DUNEDIN,FL,34698-2012,US,"533 BAYWOOD DR S, DUNEDIN, FL, 34698-2012, US",NO_DUPLICATE_ISSUE,Record is clean and passed structural uniqueness tests.
AXP04479982,423601546,SAMFORD CAPITAL CORP,LLS DESIGN LLC,182 HIDDEN COVE DR|||RICHMOND HILL|GA|31324-4971|US,4515903c70281373a8ab8fa98ad009e97c0a0f5013644d355ff0514c1c011094,42-3601546,423601546,SAMFORD CAPITAL CORP,LLS DESIGN LLC,182 HIDDEN COVE DR,,RICHMOND HILL,GA,31324-4971,US,"182 HIDDEN COVE DR, RICHMOND HILL, GA, 31324-4971, US",NO_DUPLICATE_ISSUE,Record is clean and passed structural uniqueness tests.
AXP04273556,575923603,LAW OFF E GUERRERO,LAW OFF E GUERRERO,8 S KING ST|STE 202||HONOLULU|HI|96813-4334|US,72d88d6ba1d3dc61d06ab32473ef88f3d8e9dc149bee0efdbfef3626b93c877f,57-5923603,575923603,LAW OFF E GUERRERO,LAW OFF E GUERRERO,8 S KING ST,STE 202,HONOLULU,HI,96813-4334,US,"8 S KING ST, STE 202, HONOLULU, HI, 96813-4334, US",NO_DUPLICATE_ISSUE,Record is clean and passed structural uniqueness tests.
