code,description,section,division
A,Agriculture forestry and fishing,A,
B,Mining and quarrying,B,
C,Manufacturing,C,
D,Electricity gas steam and air conditioning supply,D,
E,Water supply sewerage waste management and remediation activities,E,
F,Construction,F,
G,Wholesale and retail trade repair of motor vehicles and motorcycles,G,
H,Transportation and storage,H,
I,Accommodation and food service activities,I,
J,Information and communication,J,
K,Financial and insurance activities,K,
L,Real estate activities,L,
M,Professional scientific and technical activities,M,
N,Administrative and support service activities,N,
O,Public administration and defence compulsory social security,O,
P,Education,P,
Q,Human health and social work activities,Q,
R,Arts entertainment and recreation,R,
S,Other service activities,S,
T,Activities of households as employers,T,
U,Activities of extraterritorial organisations and bodies,U,
0111,Growing of cereals except rice leguminous crops and oil seeds,A,01
0112,Growing of rice,A,01
0113,Growing of vegetables and melons roots and tubers,A,01
0114,Growing of sugar cane,A,01
0115,Growing of tobacco,A,01
0116,Growing of fibre crops,A,01
0119,Growing of other non-perennial crops,A,01
0121,Growing of grapes,A,01
0122,Growing of tropical and subtropical fruits,A,01
0123,Growing of citrus fruits,A,01
0124,Growing of pome fruits and stone fruits,A,01
0125,Growing of other tree and bush fruits and nuts,A,01
0126,Growing of oleaginous fruits,A,01
0127,Growing of beverage crops,A,01
0128,Growing of spices aromatic drug and pharmaceutical crops,A,01
0129,Growing of other perennial crops,A,01
0130,Plant propagation,A,01
0141,Raising of cattle and buffaloes,A,01
0142,Raising of horses and other equines,A,01
0143,Raising of camels and camelids,A,01
0144,Raising of sheep and goats,A,01
0145,Raising of swine/pigs,A,01
0146,Raising of poultry,A,01
0149,Raising of other animals,A,01
0150,Mixed farming,A,01
0161,Support activities for crop production,A,01
0162,Support activities for animal production,A,01
0163,Post-harvest crop activities,A,01
0164,Seed processing for propagation,A,01
0170,Hunting trapping and related service activities,A,01
0210,Silviculture and other forestry activities,A,02
0220,Logging,A,02
0230,Gathering of non-wood forest products,A,02
0240,Support services to forestry,A,02
0311,Marine fishing,A,03
0312,Freshwater fishing,A,03
0321,Marine aquaculture,A,03
0322,Freshwater aquaculture,A,03
0510,Mining of hard coal,B,05
0520,Mining of lignite,B,05
0610,Extraction of crude petroleum,B,06
0620,Extraction of natural gas,B,06
0710,Mining of iron ores,B,07
0721,Mining of uranium and thorium ores,B,07
0729,Mining of other non-ferrous metal ores,B,07
0810,Quarrying of stone sand and clay,B,08
0891,Mining of chemical and fertilizer minerals,B,08
0892,Extraction of peat,B,08
0893,Extraction of salt,B,08
0899,Other mining and quarrying nec,B,08
0910,Support activities for petroleum and natural gas extraction,B,09
0990,Support activities for other mining and quarrying,B,09
1010,Processing and preserving of meat,C,10
1020,Processing and preserving of fish crustaceans and molluscs,C,10
1030,Processing and preserving of fruit and vegetables,C,10
1040,Manufacture of vegetable and animal oils and fats,C,10
1050,Manufacture of dairy products,C,10
1061,Manufacture of grain mill products,C,10
1062,Manufacture of starches and starch products,C,10
1071,Manufacture of bakery products,C,10
1072,Manufacture of sugar,C,10
1073,Manufacture of cocoa chocolate and sugar confectionery,C,10
1074,Manufacture of macaroni noodles couscous and similar farinaceous products,C,10
1075,Manufacture of prepared meals and dishes,C,10
1079,Manufacture of other food products nec,C,10
1080,Manufacture of prepared animal feeds,C,10
1101,Distilling rectifying and blending of spirits,C,11
1102,Manufacture of wines,C,11
1103,Manufacture of malt liquors and malt,C,11
1104,Manufacture of soft drinks production of mineral waters and other bottled waters,C,11
1200,Manufacture of tobacco products,C,12
1311,Preparation and spinning of textile fibres,C,13
1312,Weaving of textiles,C,13
1313,Finishing of textiles,C,13
1391,Manufacture of knitted and crocheted fabrics,C,13
1392,Manufacture of made-up textile articles except apparel,C,13
1393,Manufacture of carpets and rugs,C,13
1394,Manufacture of cordage rope twine and netting,C,13
1399,Manufacture of other textiles nec,C,13
1410,Manufacture of wearing apparel except fur apparel,C,14
1420,Manufacture of articles of fur,C,14
1430,Manufacture of knitted and crocheted apparel,C,14
1511,Tanning and dressing of leather dressing and dyeing of fur,C,15
1512,Manufacture of luggage handbags and the like saddlery and harness,C,15
1520,Manufacture of footwear,C,15
1610,Sawmilling and planing of wood,C,16
1621,Manufacture of veneer sheets and wood-based panels,C,16
